Player,Tota Cmp,Tota Att,Tota Cmp%,Tota TotDist,Tota PrgDist,Shor Cmp,Shor Att,Shor Cmp%,Medi Cmp,Medi Att,Medi Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
3eb22ec9,46.12,52.04,88.6,732.04,132.52,23.4,25.53,91.6,18.06,19.81,91.2,2.82,3.69,7.41,0.19,0.2,-0.01,1.55,2.72,1.55,0.1,4.08
86e7deaf,50.0,54.92,91.0,1057.78,410.48,16.03,16.98,94.4,25.4,26.67,95.2,7.94,10.32,12.21,0.0,0.0,0.0,0.0,3.33,0.48,0.0,3.33
2690dffa,inf,inf,100.0,inf,inf,inf,inf,100.0,inf,inf,100.0,,,,,,,,,,,
fd9c4805,27.63,33.95,81.4,497.11,56.84,13.68,15.79,86.7,10.53,12.37,85.1,3.16,4.47,18.58,0.0,0.08,-0.08,0.26,1.32,0.26,0.0,0.79
30f5ffa9,66.67,72.67,91.7,1386.67,380.33,19.0,20.67,91.9,38.67,40.33,95.9,8.33,11.0,25.27,0.0,0.0,0.0,0.0,6.0,0.33,0.33,4.0
defb905a,39.56,46.0,86.0,881.78,242.44,11.11,11.56,96.2,20.67,23.11,89.4,7.78,10.89,15.87,0.0,0.02,-0.02,0.44,1.78,0.0,0.0,1.33
76d5857d,30.8,40.0,77.0,514.8,207.4,16.6,19.0,87.4,11.2,15.0,74.7,2.8,4.0,14.0,0.0,0.04,-0.04,0.8,1.0,1.0,0.6,3.0
cbbfa2e7,21.82,32.73,66.7,342.73,50.91,12.73,18.64,68.3,6.82,9.09,75.0,1.82,3.64,22.73,0.0,0.09,-0.09,0.91,0.0,0.45,0.0,0.91
2ccd89a3,54.0,66.0,81.8,956.57,370.29,22.86,25.14,90.9,24.86,29.43,84.5,5.43,8.29,18.71,0.0,0.06,-0.06,0.86,6.29,0.57,0.0,8.0
886f9aac,30.0,31.95,93.9,492.44,65.37,15.37,15.85,96.9,12.2,12.68,96.2,2.2,2.68,19.95,0.0,0.0,0.0,0.0,0.98,0.24,0.24,0.98
c1febb46,32.12,37.31,86.1,475.77,76.15,15.58,18.46,84.4,14.62,16.15,90.5,0.38,0.77,9.62,0.0,0.02,-0.02,0.77,1.15,0.19,0.0,0.77
420c18a1,34.38,43.12,79.7,863.5,335.12,5.62,5.62,100.0,19.5,19.75,98.7,9.0,17.5,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
