Player,Age,90s,mv,DF,FW,GK,MF
10549b49,25,3.2,25000000,0,1,0,0
53cad200,30,10.7,13000000,1,0,0,0
8b683d09,35,3.6,500000,0,1,0,0
60c07b31,24,2.1,5000000,1,0,0,0
6a2b9aee,18,0.4,3500000,0,1,0,0
a8567629,20,4.6,10000000,1,0,0,0
7c3ed041,21,2.8,8000000,1,0,0,0
ed33f42d,21,0.1,2000000,0,0,0,1
6928979a,23,5.9,65000000,0,0,0,1
a4e16ab4,20,0.7,5000000,0,0,0,1
8e7f49d3,26,5.5,15000000,0,0,0,1
75b86fb3,21,4.6,60000000,1,0,0,0
c432ba7d,20,0.4,700000,0,1,0,1
50dc94ce,23,3.1,30000000,0,1,0,1
57d88cf9,17,7.6,55000000,0,0,0,1
bef0a7ac,30,2.9,7000000,0,1,0,0
fe888e39,22,0.2,4000000,0,0,0,1
378825c7,25,5.0,22000000,1,0,0,0
3b8674e6,23,5.2,35000000,0,0,0,1
70d74ece,32,9.3,25000000,0,1,0,0
b39bf63f,33,5.7,1200000,0,1,0,0
eb6e14be,22,5.2,10000000,0,1,0,1
ee93c1a9,26,1.7,15000000,1,0,0,1
3cdfc63e,27,6.0,2000000,1,0,0,0
691bef82,30,4.6,15000000,1,0,0,1
2db2fd7b,31,5.8,8500000,1,0,0,0
9c2b4382,26,0.9,1100000,0,1,0,1
c603ad6a,25,4.1,2200000,1,0,0,0
7713c72a,21,6.0,3000000,1,0,0,0
52ec54d0,33,5.5,8000000,1,0,0,0
2cb77ec6,25,2.9,1000000,1,0,0,0
1c07b06e,27,4.6,5000000,0,0,0,1
f6798fc3,29,5.0,18000000,0,0,1,0
20e73fac,26,4.1,15000000,0,0,0,1
1e064bfb,32,1.0,1000000,0,0,1,0
fd771f95,29,2.6,9000000,0,1,0,0
a167537f,24,2.4,20000000,0,0,0,1
4c184730,18,0.5,7500000,0,1,0,0
33b8d077,27,4.1,40000000,0,0,0,1
5caa62a7,25,0.7,5000000,0,1,0,1
e40d028b,42,1.0,1000000,0,0,1,0
9d12e142,29,4.0,4000000,0,0,1,0
eb2b33aa,26,4.0,5000000,0,0,1,0
5ab0ea87,32,3.7,9000000,0,0,0,1
b8814868,27,3.8,5000000,0,0,0,1
148e136f,30,2.8,9000000,0,1,0,1
038aa94a,31,0.3,1300000,1,0,0,0
93b891d1,31,1.5,4000000,0,1,0,1
928a4a61,20,3.6,5000000,0,0,0,1
ac7e640b,26,0.1,5000000,1,0,0,0
94f8d10c,23,4.0,25000000,1,0,0,0
489e80e3,20,4.6,10000000,0,0,0,1
13ea2544,23,3.2,1500000,0,0,0,1
7b9c2d84,17,3.6,55000000,0,0,0,1
873619c6,19,0.1,2300000,0,0,0,1
a65ce836,26,5.2,26000000,1,0,0,1
bd6351cd,26,6.7,55000000,1,0,0,0
b4a014b1,27,8.0,45000000,1,0,0,0
de39485a,26,4.2,40000000,1,0,0,1
4958bfb2,28,1.8,30000000,1,0,0,0
4d224fe8,28,9.2,70000000,0,0,0,1
ba3d3bea,25,1.0,2500000,0,0,0,1
527f063d,33,2.3,6000000,0,1,0,0
10fe831e,23,5.0,2500000,1,0,0,0
5b54bf3b,30,1.3,5000000,1,0,0,1
15975a3c,27,3.2,2500000,1,0,0,0
e85fb9b8,35,1.6,1500000,1,0,0,0
b0f7e36c,22,6.1,60000000,0,1,0,1
d2424d1b,23,8.6,45000000,1,0,0,0
1cb49278,24,6.6,30000000,1,0,0,0
