,Player,Age,90s,mv,DF,FW,GK,MF,Tota Cmp,Tota Att,Tota Cmp%,Tota TotDist,Tota PrgDist,Shor Cmp,Shor Att,Shor Cmp%,Medi Cmp,Medi Att,Medi Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
543,9a1f2e1c,30,5.7,2700000,1,0,0,0,43.86,54.91,79.9,744.21,344.91,21.93,24.04,91.2,17.72,21.75,81.5,3.51,7.19,48.8,0.0,0.11,-0.11,1.05,1.93,1.05,0.53,3.16
544,d003e213,34,6.0,1000000,1,0,0,0,54.83,63.67,86.1,952.83,273.0,24.83,27.17,91.4,23.83,27.17,87.7,5.0,7.5,66.7,0.0,0.0,0.0,0.17,1.5,0.17,0.17,2.67
545,0c2ac3cb,27,1.4,15000000,0,0,0,1,67.14,75.71,88.7,1041.43,225.71,37.14,37.86,98.1,20.71,25.0,82.9,6.43,8.57,75.0,0.71,0.57,0.14,2.14,7.14,0.71,0.0,7.14
546,9686fc54,31,3.0,300000,1,0,0,0,27.0,35.0,77.1,601.0,200.33,6.33,7.33,86.4,17.33,19.33,89.7,3.33,7.67,43.5,0.0,0.0,0.0,0.0,0.67,0.0,0.0,1.67
547,89f951b5,32,5.1,10000000,0,0,0,1,70.0,78.82,88.8,1368.43,312.75,31.37,33.73,93.0,27.25,29.22,93.3,10.2,13.33,76.5,0.2,0.16,0.04,1.96,8.04,0.98,0.2,5.1
548,47fd5136,30,5.2,6000000,1,0,0,0,45.0,55.19,81.5,1159.42,427.31,10.96,12.12,90.5,18.85,20.96,89.9,14.62,21.15,69.1,0.19,0.02,0.17,0.58,4.62,0.58,0.38,4.62
549,7483d9f9,28,6.0,3000000,1,0,0,0,52.17,61.0,85.5,1149.17,382.0,13.5,15.33,88.0,27.83,30.5,91.3,10.33,14.33,72.1,0.17,0.08,0.08,0.33,4.67,0.33,0.33,5.5
550,8a1d7b51,25,5.5,6000000,1,0,0,1,27.64,37.45,73.8,425.82,173.82,14.18,16.0,88.6,11.27,15.82,71.3,1.45,4.18,34.8,0.0,0.04,-0.04,0.36,0.73,0.36,0.18,1.64
551,08511d65,34,4.7,10000000,1,0,0,0,72.98,78.94,92.5,1751.28,519.36,19.36,21.06,91.9,35.32,37.23,94.9,17.87,19.79,90.3,0.21,0.13,0.09,0.21,5.96,0.0,0.0,2.13
552,ef619b0b,29,4.0,14000000,0,0,0,1,45.5,54.75,83.1,808.75,190.25,19.25,21.5,89.5,19.5,23.25,83.9,5.25,7.5,70.0,0.0,0.15,-0.15,1.5,4.25,1.5,0.0,5.0
553,1dbfae2d,22,2.6,2000000,0,1,0,1,21.92,30.77,71.3,328.08,51.54,14.23,16.54,86.0,5.77,8.08,71.4,1.54,3.08,50.0,0.0,0.0,0.0,0.0,0.77,1.15,0.38,0.77
554,a1d5bd30,22,4.6,85000000,0,1,0,0,25.87,32.39,79.9,363.26,76.96,15.87,17.39,91.3,8.7,10.87,80.0,0.87,1.96,44.4,0.0,0.15,-0.15,0.87,1.09,1.74,0.22,2.83
555,e358587b,37,7.0,800000,0,0,1,0,34.43,40.43,85.2,931.86,579.29,6.0,6.0,100.0,16.86,17.43,96.7,11.29,16.71,67.5,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0
556,6b21b7b5,18,0.2,16000000,0,1,0,1,85.0,105.0,81.0,1680.0,150.0,35.0,50.0,70.0,30.0,30.0,100.0,15.0,15.0,100.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
557,3376a776,25,2.4,3000000,1,0,0,0,47.5,59.58,79.7,778.75,302.5,23.75,27.08,87.7,16.67,21.25,78.4,4.58,7.08,64.7,0.0,0.0,0.0,0.42,0.83,1.67,1.25,1.67
558,36a3ff67,31,7.7,13000000,0,1,0,1,30.39,36.75,82.7,408.18,111.3,19.48,22.08,88.2,7.79,9.48,82.2,1.43,2.21,64.7,0.26,0.21,0.05,1.3,1.3,1.43,0.0,3.51
559,7fa4e703,17,5.1,38000000,0,1,0,1,45.29,53.33,84.9,705.1,137.45,25.69,28.24,91.0,16.08,18.43,87.2,2.75,3.92,70.0,0.2,0.16,0.04,1.37,2.75,0.98,0.2,3.53
560,54f5ce34,25,3.0,3000000,1,0,0,0,42.33,50.67,83.6,842.0,345.0,14.67,16.33,89.8,20.0,22.0,90.9,7.0,10.0,70.0,0.0,0.0,0.0,0.33,5.33,0.67,0.33,4.33
561,0a3d6d2b,20,1.4,7500000,1,0,0,0,63.57,74.29,85.6,1020.71,337.86,34.29,38.57,88.9,23.57,27.14,86.8,4.29,5.0,85.7,0.0,0.0,0.0,0.0,0.71,0.71,0.0,4.29
562,733e7ad8,27,3.6,5500000,0,0,0,1,36.67,43.06,85.2,785.83,153.61,9.72,11.39,85.4,19.44,21.94,88.6,6.94,8.89,78.1,0.0,0.03,-0.03,0.56,2.22,0.28,0.0,1.67
563,335fa267,28,2.0,18000000,1,0,0,1,80.5,87.0,92.5,1260.0,446.5,43.0,45.5,94.5,30.5,31.5,96.8,4.5,6.0,75.0,0.0,0.05,-0.05,1.0,7.0,2.5,0.0,5.5
564,2e4f5f03,26,8.4,65000000,1,0,0,0,62.38,77.98,80.0,1186.55,485.24,24.64,27.62,89.2,29.88,34.52,86.6,7.5,13.33,56.3,0.0,0.15,-0.15,1.55,4.17,0.95,0.12,5.83
565,da27e268,23,1.7,10000000,0,0,0,1,92.35,99.41,92.9,1703.53,571.76,42.35,42.94,98.6,40.59,44.71,90.8,8.82,10.59,83.3,0.0,0.0,0.0,0.0,10.0,0.59,0.0,12.94
566,6434f10d,24,8.7,70000000,0,0,0,1,87.7,95.06,92.3,1779.89,349.89,33.22,35.06,94.8,39.89,41.84,95.3,14.6,17.01,85.8,0.0,0.01,-0.01,0.57,8.51,0.57,0.0,5.29
567,3814b753,25,2.0,3000000,0,1,0,1,27.5,32.0,85.9,505.0,91.0,14.0,15.5,90.3,10.5,12.5,84.0,3.0,3.0,100.0,0.0,0.25,-0.25,0.5,1.0,1.0,0.0,2.0
568,20df3aaf,23,1.4,3000000,0,0,0,1,38.57,45.0,85.7,722.86,138.57,17.14,19.29,88.9,14.29,17.14,83.3,6.43,7.14,90.0,0.0,0.07,-0.07,0.71,2.14,0.0,0.0,2.86
569,19709006,22,3.1,12000000,0,1,0,1,41.94,49.35,85.0,830.65,173.23,18.71,20.65,90.6,15.16,16.45,92.2,7.1,8.71,81.5,0.65,0.26,0.39,3.23,2.58,0.32,0.32,1.94
570,8f5e92a6,19,3.6,35000000,0,1,0,0,30.56,41.11,74.3,383.06,99.44,21.39,25.0,85.6,7.22,10.83,66.7,0.83,2.22,37.5,0.28,0.11,0.17,0.83,1.39,2.22,0.56,3.06
571,a3d94a58,22,6.9,30000000,1,0,0,0,36.23,41.74,86.8,690.43,241.88,12.61,14.49,87.0,19.28,21.16,91.1,3.62,5.07,71.4,0.14,0.13,0.01,0.58,1.3,0.14,0.0,2.75
572,dea698d9,35,6.3,45000000,0,1,0,0,28.73,35.24,81.5,393.49,73.49,18.89,21.43,88.1,6.83,8.57,79.6,2.06,3.02,68.4,0.32,0.14,0.17,1.59,2.22,0.79,0.63,1.43
573,ed45c4a5,25,4.9,14000000,0,0,0,1,53.27,60.2,88.5,938.78,200.61,26.12,27.35,95.5,20.0,21.84,91.6,6.12,8.37,73.2,0.0,0.02,-0.02,0.61,4.08,0.2,0.0,3.47
574,2a1beb34,29,5.3,23000000,0,0,0,1,41.32,53.4,77.4,775.85,248.87,15.47,17.55,88.2,20.57,23.58,87.2,4.72,10.19,46.3,0.0,0.02,-0.02,0.57,4.72,0.19,0.0,4.91
