,Player,Age,90s,mv,DF,FW,GK,MF,Gls,Stan Sh,Stan SoT,Stan SoT%,Stan Sh/90,Stan SoT/90,Stan G/Sh,Stan G/SoT,Stan Dist,Stan FK,Perf PK,Perf PKatt,Expe xG,Expe npxG,Expe npxG/Sh,Expe G-xG,Expe np:G-xG
10,414e1f69,19,0.4,2500000,0,1,0,1,0.0,2.5,0.0,0.0,2.31,0.0,0.0,,4.1,0.0,0.0,0.0,0.25,0.25,0.09,-0.25,-0.25
11,eaeca114,25,2.0,32000000,1,0,0,0,0.0,0.5,0.5,100.0,0.5,0.5,0.0,0.0,7.0,0.0,0.0,0.0,0.05,0.05,0.14,-0.05,-0.05
12,fdf4b948,27,3.2,3500000,0,0,0,1,0.31,0.94,0.31,33.3,0.93,0.31,0.33,1.0,13.8,0.0,0.0,0.0,0.12,0.12,0.13,0.19,0.19
13,05439de2,28,9.0,55000000,1,0,0,1,0.0,1.11,0.33,30.0,1.11,0.33,0.0,0.0,19.9,0.22,0.0,0.0,0.09,0.09,0.08,-0.09,-0.09
14,4601e194,31,5.4,20000000,1,0,0,0,0.0,0.19,0.0,0.0,0.19,0.0,0.0,,14.9,0.0,0.0,0.0,0.02,0.02,0.06,-0.02,-0.02
15,5294a83f,27,5.3,45000000,0,0,0,1,0.0,1.13,0.75,66.7,1.14,0.76,0.0,0.0,19.8,0.0,0.0,0.0,0.08,0.08,0.07,-0.08,-0.08
16,77e84962,29,2.5,30000000,0,0,0,1,0.0,0.8,0.4,50.0,0.81,0.41,0.0,0.0,21.0,0.0,0.0,0.0,0.04,0.04,0.05,-0.04,-0.04
17,d68cb24c,29,1.2,2500000,0,0,0,1,0.0,3.33,1.67,50.0,3.33,1.67,0.0,0.0,22.4,0.83,0.0,0.0,0.08,0.08,0.03,-0.08,-0.08
18,6c811eb7,22,1.4,15000000,0,0,0,1,0.0,2.14,0.0,0.0,2.18,0.0,0.0,,24.7,0.0,0.0,0.0,0.07,0.07,0.02,-0.07,-0.07
19,cd1acf9d,21,7.9,75000000,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
20,edd38473,30,1.2,1000000,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
21,7a2e46a8,27,7.0,60000000,0,0,1,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
22,f4290206,29,2.0,12000000,1,0,0,0,0.0,1.0,0.5,50.0,1.01,0.5,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
23,8ce30c57,27,2.6,4500000,0,0,0,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
24,8b3ab7ad,22,1.4,14000000,1,0,0,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
25,22721b88,26,5.0,9000000,1,0,0,0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,,32.4,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
26,63e905bc,31,2.0,200000,0,0,1,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
27,9f1893b9,27,0.7,10000000,0,1,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
28,0a721e85,22,1.9,1500000,0,1,0,1,0.0,2.11,0.53,25.0,2.13,0.53,0.0,0.0,20.2,0.0,0.0,0.0,0.05,0.05,0.03,-0.05,-0.05
29,b5f66351,23,4.4,2000000,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
