Player,fbref id,transm id,mv
Stanislav Magkeev,b088363d,462329,800000
Riyad Mahrez,892d5bb1,171424,48000000
Thiago Maia,91e58f66,294873,3200000
Mike Maignan,fcb38f57,182906,17500000
Lovro Majer,fc46aab1,387106,2300000
Robert Mak,73fc8cc3,92180,1600000
Nikola Maksimovic,16b9d5cf,124715,13500000
Kevin Malcuit,d6a889ea,126711,12000000
Ruslan Malinovskyi,48d5bd33,207877,11000000
Reinildo Mandava,c20bdcd7,240692,2400000
Sadio Mane,c691bfe2,200512,120000000
Eliaquim Mangala,f520049f,90681,6000000
Kostas Manolas,c707411f,104752,32000000
Fernando Marcal,9ae9eaea,137745,2400000
Marcao,133faa84,439022,3200000
Marcelo,e3d0b0c4,52920,2800000
Marcelo,603116a7,44501,16000000
Jose Maria Gimenez,f0da930c,250845,56000000
Mariano,e26f559f,54155,1000000
Marko Marin,a022e78c,35251,4800000
Guilherme Marinato,a3b0ed18,55369,2000000
Joao Mario,f0021247,149729,14500000
Marlos,9139bb12,68778,8000000
Marquinhos,d5f2f82b,181767,52000000
Javi Martinez,7f97771d,44017,13000000
Lautaro Martinez,f7036e1c,406625,64000000
Lisandro Martinez,bac46a10,480762,20000000
Andrea Masiello,e0314d87,34198,1200000
Lukas Masopust,4adc7b42,234153,2000000
Giorgos Masouras,9d689a5b,329517,1600000
Clinton Mata,55abe554,187718,6500000
Joel Matip,b217ef29,82105,32000000
Blaise Matuidi,c0cddebe,33923,10500000
Mykola Matviyenko,1adcf39e,289059,4000000
Eric Maxim Choupo-Moting,0e6bc38c,45660,4000000
Noussair Mazraoui,b74277a0,340456,9500000
Kylian Mbappe,42fd9c7f,342229,180000000
Brandon Mechele,0a6dbbf7,236168,4800000
Arthur Melo,48b3dd60,362842,56000000
Thiago Mendes,c6e5d20f,135617,16000000
Benjamin Mendy,5271c8f1,157495,28000000
Ferland Mendy,3cefcaef,291417,32000000
Alex Meret,9413b19f,240414,28000000
Yassine Meriah,3640af28,306330,2400000
Dries Mertens,89b2c8a9,56416,20000000
Lionel Messi,d70ce98e,28003,112000000
Thomas Meunier,e162b013,100986,24000000
Simon Mignolet,d436eb94,50219,8000000
Arkadiusz Milik,85613cf0,191891,32000000
Eder Militao,2784f898,401530,36000000
James Milner,2f90f6b8,3333,6500000
Nemanja Milunovic,746b64a7,70412,1500000
Takumi Minamino,f833a830,165793,10000000
Takumi Minamino,f833a830,165793,10000000
Aleksei Miranchuk,a9aa0d1d,255450,14500000
Anton Miranchuk,807e869a,255451,13000000
Matej Mitrovic,a8741470,206734,2400000
Luka Modric,6025fab1,27992,12000000
Monchu,8ac501f5,282727,900000
