Rk,Player,market value,id,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Rémy Cabella,148e136f,9000000,fr FRA,MFFW,ru Krasnodar,30,1990,2.8,110,130,84.6,1571,297,60,63,95.2,34,39,87.2,8,15,53.3,0,0.8,-0.8,4,5,7,0,13
Júnior Caiçara,038aa94a,1300000,br BRA,DF,tr Başakşehir,31,1989,0.3,6,7,85.7,80,27,3,3,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0
Felipe Caicedo,93b891d1,4000000,ec ECU,FWMF,it Lazio,31,1988,1.5,42,51,82.4,556,65,25,28,89.3,11,13,84.6,2,4,50.0,0,0.1,-0.1,2,2,2,0,3
Jens Cajuste,928a4a61,5000000,se SWE,MF,dk Midtjylland,20,1999,3.6,85,114,74.6,1451,324,37,46,80.4,40,47,85.1,6,12,50.0,1,0.2,+0.8,2,9,1,0,8
Mattia Caldara,ac7e640b,5000000,it ITA,DF,it Atalanta,26,1994,0.1,5,6,83.3,88,29,2,2,100.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0,0,0,0,0
Duje Ćaleta-Car,94f8d10c,25000000,hr CRO,DF,fr Marseille,23,1996,4.0,227,258,88.0,4944,1740,68,77,88.3,115,120,95.8,43,60,71.7,0,0.1,-0.1,1,18,2,1,9
Mohamed Camara,489e80e3,10000000,ml MLI,MF,at RB Salzburg,20,2000,4.6,203,258,78.7,4063,1150,67,81,82.7,99,118,83.9,31,48,64.6,0,0.0,0.0,1,25,4,0,21
Mohamed Camara,13ea2544,3000000,gn GUI,MF,gr Olympiacos,23,1997,3.2,119,155,76.8,2127,512,56,65,86.2,49,61,80.3,13,23,56.5,0,0.0,0.0,1,3,1,1,1
Eduardo Camavinga,7b9c2d84,55000000,fr FRA,MF,fr Rennes,17,2002,3.6,159,173,91.9,2951,534,60,66,90.9,73,78,93.6,23,25,92.0,0,0.5,-0.5,7,15,3,0,12
Sergio Camello,873619c6,2300000,es ESP,MF,es Atlético Madrid,19,2001,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
Emre Can,a65ce836,26000000,de GER,MFDF,de Dortmund,26,1994,5.2,169,201,84.1,3721,1069,54,63,85.7,75,81,92.6,36,52,69.2,0,0.1,-0.1,1,16,1,0,7
João Cancelo,bd6351cd,55000000,pt POR,DF,eng Manchester City,26,1994,6.7,535,617,86.7,9228,2230,274,303,90.4,205,230,89.1,51,68,75.0,1,0.8,+0.2,6,44,14,4,36
Diego Carlos,b4a014b1,45000000,br BRA,DF,es Sevilla,27,1993,8.0,543,610,89.0,12222,3359,141,152,92.8,280,292,95.9,118,159,74.2,0,0.0,0.0,1,30,0,0,14
Yannick Carrasco,de39485a,40000000,be BEL,MFDF,es Atlético Madrid,26,1993,4.2,132,178,74.2,1943,669,87,106,82.1,33,43,76.7,9,22,40.9,1,0.3,+0.7,6,6,6,0,16
Dani Carvajal,4958bfb2,30000000,es ESP,DF,es Real Madrid,28,1992,1.8,123,141,87.2,2193,747,59,68,86.8,52,55,94.5,12,14,85.7,0,0.1,-0.1,2,5,2,1,4
Casemiro,4d224fe8,70000000,br BRA,MF,es Real Madrid,28,1992,9.2,544,634,85.8,10648,2557,208,231,90.0,241,265,90.9,81,113,71.7,1,0.4,+0.6,4,40,3,0,28
Danilo Cataldi,ba3d3bea,2500000,it ITA,MF,it Lazio,25,1994,1.0,56,65,86.2,969,343,27,28,96.4,25,30,83.3,4,5,80.0,0,0.2,-0.2,1,6,0,0,5
Edinson Cavani,527f063d,6000000,uy URU,FW,eng Manchester Utd,33,1987,2.3,51,59,86.4,722,48,27,29,93.1,20,22,90.9,1,2,50.0,0,0.2,-0.2,2,1,0,0,1
Murilo Cerqueira,10fe831e,2500000,br BRA,DF,ru Loko Moscow,23,1997,5.0,161,186,86.6,3686,1187,36,40,90.0,90,101,89.1,34,44,77.3,0,0.0,0.0,1,5,0,0,8
Nacer Chadli,5b54bf3b,5000000,be BEL,MFDF,tr Başakşehir,30,1989,1.3,33,45,73.3,575,101,19,22,86.4,7,11,63.6,6,9,66.7,0,0.1,-0.1,1,3,0,0,1
Yevgeni Chernov,15975a3c,2500000,ru RUS,DF,ru Krasnodar,27,1992,3.2,69,111,62.2,1171,569,35,44,79.5,30,47,63.8,4,16,25.0,0,0.1,-0.1,1,5,2,1,8
Giorgio Chiellini,e85fb9b8,1500000,it ITA,DF,it Juventus,35,1984,1.6,151,166,91.0,3557,983,26,28,92.9,99,102,97.1,25,35,71.4,0,0.0,0.0,1,7,0,0,12
Federico Chiesa,b0f7e36c,60000000,it ITA,MFFW,it Juventus,22,1997,6.1,153,217,70.5,2664,718,78,92,84.8,59,76,77.6,15,37,40.5,1,1.1,-0.1,6,5,11,4,23
Ben Chilwell,d2424d1b,45000000,eng ENG,DF,eng Chelsea,23,1996,8.6,388,518,74.9,6456,2603,198,216,91.7,156,200,78.0,30,79,38.0,0,1.1,-1.1,8,15,8,2,28
Andreas Christensen,1cb49278,30000000,dk DEN,DF,eng Chelsea,24,1996,6.6,359,399,90.0,7454,2219,121,128,94.5,177,191,92.7,58,74,78.4,0,0.0,0.0,0,20,0,0,14
Eldar Ćivić,5fcb90ac,1500000,ba BIH,DF,hu Ferencváros,24,1996,0.7,23,28,82.1,477,245,11,11,100.0,7,9,77.8,5,8,62.5,0,0.0,0.0,0,2,0,0,3
