Rk,Player,market value,id,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Gerson Rodrigues,3814b753,3000000,lu LUX,FWMF,ua Dynamo Kyiv,25,1995,2.0,0,2,1,50.0,1.01,0.51,0.00,0.00,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Pedro Rodrigues,20df3aaf,3000000,pt POR,MF,gr Olympiacos,23,1997,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Óscar Rodríguez Arnaiz,19709006,12000000,es ESP,MFFW,es Sevilla,22,1998,3.1,0,8,2,25.0,2.57,0.64,0.00,0.00,25.4,3,0,0,0.3,0.3,0.04,-0.3,-0.3
Rodrygo,8f5e92a6,35000000,br BRA,FW,es Real Madrid,19,2001,3.6,1,5,2,40.0,1.39,0.56,0.20,0.50,13.5,0,0,0,0.6,0.6,0.13,+0.4,+0.4
Cristian Romero,a3d94a58,30000000,ar ARG,DF,it Atalanta,22,1998,6.9,1,5,2,40.0,0.72,0.29,0.20,0.50,8.8,0,0,0,0.4,0.4,0.08,+0.6,+0.6
Cristiano Ronaldo,dea698d9,45000000,pt POR,FW,it Juventus,35,1985,6.3,4,21,8,38.1,3.32,1.27,0.10,0.25,18.3,2,2,2,4.4,2.9,0.14,-0.4,-0.9
Valentin Rongier,ed45c4a5,14000000,fr FRA,MF,fr Marseille,25,1994,4.9,0,6,0,0.0,1.22,0.00,0.00,,23.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Marten de Roon,2a1beb34,23000000,nl NED,MF,it Atalanta,29,1991,5.3,0,1,0,0.0,0.19,0.00,0.00,,17.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1
Antonio Rüdiger,18b896d6,28000000,de GER,DF,eng Chelsea,27,1993,10.3,0,5,2,40.0,0.49,0.20,0.00,0.00,24.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Daniele Rugani,14b8fcdf,5000000,it ITA,DF,fr Rennes,26,1994,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Matteo Ruggeri,ae9898c5,2000000,it ITA,DF,it Atalanta,18,2002,0.2,0,1,0,0.0,6.00,0.00,0.00,,9.5,0,0,0,0.0,0.0,0.05,0.0,0.0
Georginio Rutter,c64c01fc,3500000,fr FRA,FW,fr Rennes,18,2002,0.2,1,3,1,33.3,12.86,4.29,0.00,0.00,13.4,0,1,1,1.5,0.8,0.26,-0.5,-0.8
Dmitrii Rybchinskii,32314605,2500000,ru RUS,MFFW,ru Loko Moscow,21,1998,1.7,0,2,1,50.0,1.16,0.58,0.00,0.00,18.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Maciej Rybus,86dd16a8,2000000,pl POL,DF,ru Loko Moscow,30,1989,6.0,0,2,1,50.0,0.33,0.17,0.00,0.00,22.8,1,0,0,0.1,0.1,0.03,-0.1,-0.1
José Sá,903b6e8b,7500000,pt POR,GK,gr Olympiacos,27,1993,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marcel Sabitzer,e280527c,42000000,at AUT,MF,de RB Leipzig,26,1994,6.3,0,14,1,7.1,2.22,0.16,0.00,0.00,24.2,0,0,0,0.6,0.6,0.04,-0.6,-0.6
Leon Sabua,4c32fb38,350000,ru RUS,FW,ru Krasnodar,19,2000,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Matvei Safonov,d97b252e,14000000,ru RUS,GK,ru Krasnodar,21,1999,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Hiroki Sakai,d63e2912,4000000,jp JPN,DF,fr Marseille,30,1990,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mohamed Salah,e342ad68,100000000,eg EGY,FW,eng Liverpool,28,1992,8.6,6,21,12,57.1,2.43,1.39,0.24,0.42,16.0,0,1,1,5.0,4.3,0.20,+1.0,+0.7
Romain Salin,74733221,500000,fr FRA,GK,fr Rennes,36,1984,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alexis Sánchez,2c0f8e9e,7500000,cl CHI,FWMF,it Inter,31,1988,1.3,0,4,0,0.0,2.98,0.00,0.00,,16.1,1,0,0,0.4,0.4,0.09,-0.4,-0.4
Jadon Sancho,dbf053da,100000000,eng ENG,FWMF,de Dortmund,20,2000,4.3,2,7,3,42.9,1.63,0.70,0.14,0.33,20.4,1,1,1,1.2,0.4,0.06,+0.8,+0.6
Alex Sandro,0d82903c,20000000,br BRA,DF,it Juventus,29,1991,5.3,0,3,0,0.0,0.56,0.00,0.00,,12.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Leroy Sané,2b114be3,60000000,de GER,FWMF,de Bayern Munich,24,1996,6.4,3,19,5,26.3,2.96,0.78,0.16,0.60,17.7,1,0,0,1.9,1.9,0.10,+1.1,+1.1
Morgan Sanson,6e7f1353,16000000,fr FRA,MF,fr Marseille,25,1994,4.1,0,5,2,40.0,1.22,0.49,0.00,0.00,21.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Douglas Santos,c50e5bba,16000000,br BRA,DF,ru Zenit,26,1994,4.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Zaidu Sanusi,24051310,8000000,ng NGA,DF,pt Porto,23,1997,9.6,1,9,4,44.4,0.94,0.42,0.11,0.25,12.3,0,0,0,1.5,1.5,0.20,-0.5,-0.5
Pablo Sarabia,9744ff80,22000000,es ESP,FWMF,fr Paris S-G,28,1992,1.6,0,3,0,0.0,1.89,0.00,0.00,,12.4,0,0,0,1.1,1.1,0.36,-1.1,-1.1
Bouna Sarr,1a4b9094,4000000,sn SEN,DF,de Bayern Munich,28,1992,2.1,0,3,0,0.0,1.44,0.00,0.00,,26.8,0,0,0,0.0,0.0,0.01,0.0,0.0
