,Player,Age,90s,mv,DF,FW,GK,MF,Tack Tkl,Tack TklW,Tack Def 3rd,Tack Mid 3rd,Tack Att 3rd,Vs D Tkl,Vs D Att,Vs D Tkl%,Vs D Past,Pres Press,Pres Succ,Pres %,Pres Def 3rd,Pres Mid 3rd,Pres Att 3rd,Bloc Blocks,Bloc Sh,Bloc ShSv,Bloc Pass,Int,Tkl+Int,Clr,Err
10,414e1f69,19,0.4,2500000,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,17.5,7.5,42.9,2.5,5.0,10.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0
11,eaeca114,25,2.0,32000000,1,0,0,0,1.5,1.5,0.5,0.0,1.0,1.0,1.5,66.7,0.5,7.5,2.5,33.3,2.0,3.0,2.5,1.5,0.0,0.0,1.5,1.0,2.5,2.5,0.0
12,fdf4b948,27,3.2,3500000,0,0,0,1,1.56,1.56,0.31,1.25,0.0,0.31,1.88,16.7,1.56,17.81,6.88,38.6,9.38,6.56,1.88,2.81,0.62,0.0,2.19,1.25,2.81,1.25,0.0
13,05439de2,28,9.0,55000000,1,0,0,1,1.44,0.56,0.56,0.78,0.11,0.56,1.22,45.5,0.67,13.22,3.44,26.1,4.56,6.89,1.78,1.44,0.33,0.0,1.11,1.44,2.89,2.67,0.11
14,4601e194,31,5.4,20000000,1,0,0,0,0.93,0.56,0.19,0.74,0.0,0.19,1.11,16.7,0.93,9.81,2.41,24.5,2.78,3.7,3.33,1.48,0.37,0.0,1.11,0.56,1.48,0.93,0.0
15,5294a83f,27,5.3,45000000,0,0,0,1,2.26,1.89,0.94,0.75,0.57,0.75,3.77,20.0,3.02,18.68,4.91,26.3,7.17,9.25,2.26,1.7,0.38,0.0,1.32,1.32,3.58,0.19,0.0
16,77e84962,29,2.5,30000000,0,0,0,1,5.2,3.6,3.2,1.6,0.4,1.2,2.0,60.0,0.8,22.4,6.0,26.8,6.0,10.8,5.6,1.2,0.4,0.0,0.8,2.0,7.2,1.6,0.0
17,d68cb24c,29,1.2,2500000,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,3.33,20.83,7.5,36.0,10.83,5.83,4.17,1.67,0.0,0.0,1.67,0.83,0.83,0.0,0.0
18,6c811eb7,22,1.4,15000000,0,0,0,1,1.43,1.43,0.0,1.43,0.0,0.0,1.43,0.0,1.43,12.86,4.29,33.3,1.43,6.43,5.0,1.43,1.43,0.0,0.0,0.71,2.14,0.0,0.0
19,cd1acf9d,21,7.9,75000000,1,0,0,0,1.14,0.63,0.63,0.51,0.0,0.63,2.15,29.4,1.52,7.47,2.41,32.2,3.92,2.53,1.01,1.01,0.0,0.0,1.01,2.15,3.29,1.52,0.13
20,edd38473,30,1.2,1000000,1,0,0,0,0.83,0.0,0.0,0.83,0.0,0.83,0.83,100.0,0.0,11.67,1.67,14.3,2.5,3.33,5.83,5.0,1.67,0.0,3.33,0.0,0.83,0.83,0.0
21,7a2e46a8,27,7.0,60000000,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0
22,f4290206,29,2.0,12000000,1,0,0,0,1.0,0.5,1.0,0.0,0.0,0.5,1.0,50.0,0.5,15.0,3.0,20.0,4.0,8.0,3.0,1.5,0.0,0.0,1.5,0.0,1.0,3.5,0.0
23,8ce30c57,27,2.6,4500000,0,0,0,1,1.15,0.38,0.38,0.77,0.0,0.38,1.92,20.0,1.54,25.77,6.15,23.9,12.31,11.15,2.31,2.69,0.77,0.0,1.92,2.31,3.46,2.69,0.0
24,8b3ab7ad,22,1.4,14000000,1,0,0,1,2.14,0.71,1.43,0.71,0.0,0.0,0.71,0.0,0.71,12.86,2.86,22.2,6.43,5.0,1.43,2.14,1.43,0.0,0.71,2.14,4.29,2.86,0.0
25,22721b88,26,5.0,9000000,1,0,0,0,2.6,1.2,1.8,0.8,0.0,0.4,1.8,22.2,1.4,8.6,1.8,20.9,4.2,3.4,1.0,0.8,0.2,0.0,0.6,1.2,3.8,2.6,0.0
26,63e905bc,31,2.0,200000,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,9f1893b9,27,0.7,10000000,0,1,0,0,1.43,1.43,0.0,0.0,1.43,0.0,2.86,0.0,2.86,42.86,7.14,16.7,12.86,25.71,4.29,7.14,1.43,0.0,5.71,4.29,5.71,0.0,0.0
28,0a721e85,22,1.9,1500000,0,1,0,1,2.11,1.05,1.05,1.05,0.0,0.0,0.53,0.0,0.53,16.32,5.26,32.3,3.68,11.58,1.05,0.53,0.0,0.0,0.53,0.53,2.63,2.11,0.0
29,b5f66351,23,4.4,2000000,1,0,0,0,1.59,0.23,0.91,0.45,0.23,0.68,1.59,42.9,0.91,8.18,3.41,41.7,3.86,2.95,1.36,1.59,0.23,0.0,1.36,1.14,2.73,0.91,0.0
30,4e3f5992,26,1.4,1200000,0,0,0,1,4.29,2.86,2.86,1.43,0.0,1.43,2.86,50.0,1.43,21.43,7.14,33.3,11.43,8.57,1.43,2.14,0.0,0.0,2.14,1.43,5.71,2.14,0.0
31,30941e96,23,7.0,35000000,1,0,0,0,1.71,1.14,0.43,1.14,0.14,0.57,1.43,40.0,0.86,12.57,4.0,31.8,3.71,6.43,2.43,1.43,0.14,0.0,1.29,0.29,2.0,1.86,0.0
32,b105919e,18,0.9,2300000,0,1,0,0,3.33,3.33,0.0,2.22,1.11,0.0,0.0,,0.0,22.22,10.0,45.0,4.44,10.0,7.78,2.22,0.0,0.0,2.22,0.0,3.33,0.0,0.0
33,108fe016,20,2.7,8000000,0,0,0,1,1.48,0.74,0.74,0.74,0.0,0.37,0.74,50.0,0.37,22.22,4.81,21.7,12.59,8.15,1.48,2.22,0.37,0.0,1.85,0.0,1.48,0.74,0.0
34,99127249,20,4.0,25000000,0,1,0,0,1.0,0.75,0.75,0.25,0.0,0.0,1.5,0.0,1.5,20.0,6.0,30.0,5.0,10.5,4.5,1.25,0.0,0.0,1.25,0.75,1.75,0.25,0.0
35,c63f6e46,33,4.7,3000000,0,1,0,0,0.21,0.0,0.0,0.21,0.0,0.0,0.43,0.0,0.43,15.11,4.68,31.0,1.06,7.45,6.6,0.21,0.21,0.0,0.0,0.43,0.64,0.85,0.0
36,2bef2bca,21,1.6,25000000,1,0,0,0,1.88,1.88,0.0,1.88,0.0,0.0,0.0,,0.0,10.62,5.0,47.1,5.62,5.0,0.0,1.25,0.0,0.0,1.25,0.0,1.88,2.5,0.0
37,30643ce2,34,0.3,600000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.33,3.33,100.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1394bf42,17,0.7,1000000,1,0,0,0,1.43,0.0,1.43,0.0,0.0,0.0,0.0,,0.0,5.71,0.0,0.0,2.86,0.0,2.86,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0
39,1e465e70,18,0.4,3000000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,2.5,12.5,7.5,10.0,2.5,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0
40,28d596a0,25,1.0,13000000,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,45af8a54,24,6.9,35000000,0,1,0,0,1.16,0.72,0.29,0.14,0.72,0.58,1.01,57.1,0.43,9.86,3.33,33.8,1.88,3.48,4.49,0.43,0.0,0.0,0.43,1.01,2.17,0.29,0.0
42,552e00b9,22,0.5,2500000,0,0,0,1,4.0,2.0,0.0,2.0,2.0,4.0,4.0,100.0,0.0,32.0,6.0,18.8,12.0,18.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0
43,10549b49,25,3.2,25000000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.62,9.38,1.25,13.3,0.31,1.88,7.19,0.62,0.0,0.0,0.62,0.62,0.62,0.94,0.0
44,53cad200,30,10.7,13000000,1,0,0,0,2.34,1.21,1.12,0.93,0.28,0.93,1.87,50.0,0.93,17.29,5.42,31.4,7.2,8.22,1.87,2.15,0.75,0.0,1.4,1.21,3.55,4.3,0.0
45,8b683d09,35,3.6,500000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,1.11,9.17,0.83,9.1,0.56,4.17,4.44,0.83,0.28,0.0,0.56,0.28,0.28,0.83,0.0
