Player,Tack Tkl,Tack TklW,Tack Def 3rd,Tack Mid 3rd,Tack Att 3rd,Vs D Tkl,Vs D Att,Vs D Tkl%,Vs D Past,Pres Press,Pres Succ,Pres %,Pres Def 3rd,Pres Mid 3rd,Pres Att 3rd,Bloc Blocks,Bloc Sh,Bloc ShSv,Bloc Pass,Int,Tkl+Int,Clr,Err
1e1378e1,2.0,2.0,0.0,2.0,0.0,2.0,12.0,16.7,10.0,42.0,14.0,33.3,8.0,28.0,6.0,2.0,0.0,0.0,2.0,4.0,6.0,2.0,0.0
a793f5a8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,30.0,0.0,0.0,10.0,20.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
e33c06cf,1.33,0.67,0.5,0.67,0.17,0.33,1.5,22.2,1.17,9.33,3.0,32.1,4.83,3.83,0.67,1.17,0.33,0.0,0.83,1.17,2.5,3.5,0.0
d94653be,2.17,2.17,1.3,0.0,0.87,0.87,1.74,50.0,0.87,11.3,3.48,30.8,4.78,3.91,2.61,3.04,0.0,0.0,3.04,0.43,2.61,2.17,0.0
73affbb6,0.29,0.0,0.0,0.29,0.0,0.0,1.18,0.0,1.18,18.82,4.71,25.0,1.76,10.29,6.76,0.59,0.29,0.0,0.29,0.0,0.29,0.0,0.0
4e219ad2,1.94,0.65,0.65,0.65,0.65,1.29,3.23,40.0,1.94,12.9,2.9,22.5,2.58,6.77,3.55,0.0,0.0,0.0,0.0,0.97,2.9,0.32,0.0
bd20f4eb,2.59,2.22,1.48,0.74,0.37,1.48,3.33,44.4,1.85,15.56,3.7,23.8,5.93,6.67,2.96,3.7,0.37,0.0,3.33,1.11,3.7,1.11,0.0
9614b550,2.6,1.2,2.0,0.6,0.0,1.0,1.2,83.3,0.2,10.0,3.2,32.0,5.8,3.4,0.8,1.4,0.2,0.0,1.2,1.8,4.4,5.6,0.4
c71e97ba,2.82,1.28,1.03,1.54,0.26,0.77,1.28,60.0,0.51,14.62,2.82,19.3,5.64,7.95,1.03,2.05,0.26,0.0,1.79,2.56,5.38,2.05,0.0
01b8a2b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.14,0.14,100.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
934e1968,1.43,0.71,0.54,0.36,0.54,0.36,2.32,15.4,1.96,18.75,5.18,27.6,5.0,10.18,3.57,2.14,0.18,0.18,1.96,0.89,2.32,1.61,0.0
e92cd3f7,1.54,0.77,0.0,0.77,0.77,0.0,0.77,0.0,0.77,20.77,6.15,29.6,0.77,9.23,10.77,0.77,0.77,0.0,0.0,0.0,1.54,0.0,0.0
2475dcc6,0.5,0.33,0.0,0.17,0.33,0.33,0.67,50.0,0.33,11.5,4.0,34.8,1.33,5.17,5.0,1.33,0.17,0.0,1.17,0.17,0.67,0.33,0.0
f0661424,2.81,2.11,1.4,1.23,0.18,0.53,1.75,30.0,1.23,12.81,5.61,43.8,5.44,5.09,2.28,0.88,0.18,0.0,0.7,0.53,3.33,3.16,0.18
7272a72a,1.61,0.97,1.29,0.32,0.0,0.0,0.32,0.0,0.32,19.03,4.84,25.4,6.13,7.42,5.48,1.61,0.0,0.0,1.61,0.32,1.94,0.65,0.0
a0f9b535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,10.0,6.0,60.0,2.0,8.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
4c2a5d34,0.45,0.0,0.0,0.0,0.45,0.0,1.36,0.0,1.36,19.09,6.36,33.3,1.36,10.91,6.82,1.36,0.45,0.0,0.91,1.36,1.82,0.91,0.0
bfe272bd,2.0,1.5,0.5,1.5,0.0,1.5,3.0,50.0,1.5,26.5,6.5,24.5,9.0,14.0,3.5,0.5,0.5,0.0,0.0,2.5,4.5,1.0,0.0
e73c9bb2,2.19,0.94,0.94,0.94,0.31,0.62,1.88,33.3,1.25,13.44,4.69,34.9,3.44,7.19,2.81,3.44,0.0,0.0,3.44,0.62,2.81,1.56,0.0
6f51e382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
5148dcc5,2.22,1.48,1.11,1.11,0.0,0.74,1.85,40.0,1.11,15.93,3.7,23.3,6.67,4.81,4.44,2.22,0.0,0.0,2.22,0.0,2.22,0.74,0.0
7120a04d,0.7,0.35,0.35,0.35,0.0,0.35,1.58,22.2,1.23,17.02,5.44,32.0,5.96,6.14,4.91,2.11,0.0,0.0,2.11,0.35,1.05,0.53,0.0
2b9fdeea,1.32,0.94,0.94,0.19,0.19,0.75,2.45,30.8,1.7,15.28,2.83,18.5,3.02,7.55,4.72,0.57,0.0,0.0,0.57,0.19,1.51,0.19,0.0
6f8cd6d0,0.61,0.45,0.3,0.3,0.0,0.15,1.06,14.3,0.91,11.21,1.36,12.2,3.33,4.24,3.64,2.12,0.3,0.0,1.82,1.06,1.67,0.61,0.0
6b8887c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,50.0,0.0,0.0,0.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41034650,,,,,,,,,,inf,inf,100.0,inf,,,,,,,,,,
652d4c37,1.07,0.71,0.0,0.71,0.36,0.71,1.07,66.7,0.36,13.93,5.0,35.9,4.29,6.79,2.86,0.71,0.0,0.0,0.71,0.71,1.79,0.36,0.0
c56dc39e,3.19,2.17,1.45,1.74,0.0,1.3,2.9,45.0,1.59,12.46,3.91,31.4,6.38,5.07,1.01,1.3,0.43,0.0,0.87,1.01,4.2,3.77,0.0
f93c876b,2.4,0.8,2.0,0.4,0.0,1.2,2.4,50.0,1.2,11.2,4.4,39.3,8.0,2.8,0.4,2.0,0.8,0.0,1.2,2.4,4.8,4.0,0.0
