Player,Gls,Stan Sh,Stan SoT,Stan SoT%,Stan Sh/90,Stan SoT/90,Stan G/Sh,Stan G/SoT,Stan Dist,Stan FK,Perf PK,Perf PKatt,Expe xG,Expe npxG,Expe npxG/Sh,Expe G-xG,Expe np:G-xG
2c44a35d,0.26,1.32,0.79,60.0,1.32,0.79,0.2,0.33,12.8,0.0,0.0,0.0,0.24,0.24,0.18,0.03,0.03
85686f86,0.56,0.56,0.56,100.0,0.55,0.55,1.0,1.0,9.1,0.0,0.0,0.0,0.28,0.28,0.55,0.28,0.28
d97f2e8d,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
5976f83e,0.15,0.77,0.31,40.0,0.77,0.31,0.2,0.5,19.1,0.0,0.0,0.0,0.06,0.06,0.07,0.09,0.09
19cda00b,0.13,2.86,0.52,18.2,2.87,0.52,0.05,0.25,20.7,0.26,0.0,0.13,0.34,0.25,0.09,-0.21,-0.12
fc62f087,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
9dc96f10,0.0,10.0,6.67,66.7,11.74,7.83,0.0,0.0,14.2,0.0,0.0,0.0,1.67,1.67,0.17,-1.67,-1.67
31c69ef1,0.0,0.37,0.0,0.0,0.37,0.0,0.0,,6.8,0.0,0.0,0.0,0.09,0.09,0.25,-0.09,-0.09
8104e41e,0.0,1.09,0.22,20.0,1.09,0.22,0.0,0.0,17.7,0.0,0.0,0.0,0.04,0.04,0.04,-0.04,-0.04
4a1a9578,0.4,1.0,0.4,40.0,1.0,0.4,0.4,1.0,18.5,0.0,0.0,0.0,0.08,0.08,0.08,0.32,0.32
4030c7ae,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
6eee05f1,0.0,0.38,0.12,33.3,0.37,0.12,0.0,0.0,12.5,0.0,0.0,0.0,0.01,0.01,0.04,-0.01,-0.01
b5f7d10b,0.0,0.17,0.17,100.0,0.17,0.17,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
fffea3e5,0.0,1.78,1.11,62.5,1.8,1.12,0.0,0.0,16.6,0.0,0.0,0.0,0.11,0.11,0.06,-0.11,-0.11
5526deb1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
8954fddc,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
620922ed,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
1a992676,0.0,0.67,0.0,0.0,0.67,0.0,0.0,,21.4,0.0,0.0,0.0,0.03,0.03,0.03,-0.03,-0.03
c6486b01,0.18,2.36,0.91,38.5,2.38,0.92,0.08,0.2,18.2,0.18,0.0,0.0,0.24,0.24,0.1,-0.05,-0.05
60e86875,0.32,3.23,0.97,30.0,3.21,0.96,0.1,0.33,20.6,0.0,0.0,0.0,0.26,0.26,0.08,0.06,0.06
37e103f8,0.0,5.0,0.0,0.0,6.0,0.0,0.0,,23.5,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
303636d2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
e0921a4f,0.42,3.75,1.67,44.4,3.75,1.67,0.11,0.25,19.3,0.42,0.0,0.0,0.62,0.62,0.17,-0.21,-0.21
448a3608,0.26,1.05,0.53,50.0,1.04,0.52,0.25,0.5,10.8,0.0,0.0,0.0,0.13,0.13,0.13,0.13,0.13
f0fc9d0e,0.36,0.71,0.36,50.0,0.73,0.36,0.5,1.0,21.0,0.0,0.0,0.0,0.04,0.04,0.03,0.32,0.32
3bb7b8b4,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
73d6a176,0.0,2.0,0.0,0.0,1.98,0.0,0.0,,15.7,0.0,0.0,0.0,0.2,0.2,0.08,-0.2,-0.2
48035304,0.14,0.29,0.14,50.0,0.29,0.15,0.5,1.0,6.0,0.0,0.0,0.0,0.03,0.03,0.12,0.12,0.12
0b4f388a,0.3,2.42,0.91,37.5,2.39,0.9,0.13,0.33,13.7,0.0,0.0,0.0,0.45,0.45,0.19,-0.15,-0.15
04e17fd5,1.4,3.49,2.09,60.0,3.48,2.09,0.33,0.56,15.1,0.0,0.23,0.23,0.6,0.44,0.12,0.79,0.72
58dda688,0.0,0.22,0.0,0.0,0.22,0.0,0.0,,10.0,0.0,0.0,0.0,0.02,0.02,0.07,-0.02,-0.02
980522ec,0.0,5.45,1.82,33.3,5.35,1.78,0.0,0.0,23.9,0.91,0.0,0.0,0.27,0.27,0.04,-0.27,-0.27
1c78737d,0.33,1.0,0.33,33.3,1.0,0.33,0.33,1.0,12.7,0.0,0.0,0.0,0.2,0.2,0.21,0.13,0.13
3f79a1c8,0.0,0.62,0.0,0.0,0.61,0.0,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
b0616e3d,0.0,1.5,0.0,0.0,1.48,0.0,0.0,,18.0,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1
4352d221,0.0,4.12,1.18,28.6,4.2,1.2,0.0,0.0,21.0,0.59,0.0,0.0,0.35,0.35,0.08,-0.35,-0.35
6f3cc2fe,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
7f3b388c,0.0,0.16,0.16,100.0,0.16,0.16,0.0,0.0,7.0,0.0,0.0,0.0,0.02,0.02,0.14,-0.02,-0.02
b7a5bc86,0.0,1.05,0.0,0.0,1.06,0.0,0.0,,23.1,0.0,0.0,0.0,0.03,0.03,0.02,-0.03,-0.03
0ba976e4,0.56,5.0,3.33,66.7,5.06,3.38,0.11,0.17,13.0,0.0,0.0,0.0,0.5,0.5,0.1,0.06,0.06
51a3c4c8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
15d0c248,0.0,0.5,0.0,0.0,0.51,0.0,0.0,,3.6,0.0,0.0,0.0,0.05,0.05,0.13,-0.05,-0.05
8aafd64f,0.38,3.46,1.67,48.1,3.45,1.66,0.11,0.23,15.5,0.13,0.0,0.0,0.45,0.45,0.13,-0.06,-0.06
507c7bdf,0.82,3.88,1.84,47.4,3.9,1.85,0.11,0.22,21.9,0.61,0.41,0.41,0.73,0.43,0.11,0.08,-0.02
f76fdcd2,0.0,5.0,0.0,0.0,5.0,0.0,0.0,,19.8,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
e08647d6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
101da2b5,0.0,0.26,0.0,0.0,0.26,0.0,0.0,,13.5,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
41f32541,0.0,0.73,0.0,0.0,0.73,0.0,0.0,,32.4,0.18,0.0,0.0,0.02,0.02,0.03,-0.02,-0.02
d9d43555,0.0,5.0,0.0,0.0,4.74,0.0,0.0,,16.5,0.0,0.0,0.0,0.25,0.25,0.03,-0.25,-0.25
4c370d81,0.0,3.24,0.81,25.0,3.27,0.82,0.0,0.0,11.6,0.0,0.0,0.0,0.51,0.51,0.16,-0.51,-0.51
24f59bb2,0.0,0.34,0.0,0.0,0.35,0.0,0.0,,9.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
e288d4b3,0.0,0.44,0.11,25.0,0.45,0.11,0.0,0.0,20.2,0.0,0.0,0.0,0.01,0.01,0.02,-0.01,-0.01
ed1e53f3,0.25,2.8,1.44,51.5,2.79,1.44,0.09,0.18,16.6,0.08,0.0,0.0,0.31,0.31,0.11,-0.06,-0.06
9a2e0ccc,0.2,2.75,0.39,14.3,2.73,0.39,0.0,0.0,14.2,0.0,0.2,0.2,0.53,0.37,0.14,-0.33,-0.37
715e5b0e,0.0,0.94,0.0,0.0,0.94,0.0,0.0,,26.3,0.0,0.0,0.0,0.03,0.03,0.03,-0.03,-0.03
a9142dc3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
d80b1835,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
f620b04f,0.45,2.27,0.45,20.0,2.27,0.45,0.2,1.0,12.3,0.0,0.0,0.0,0.64,0.64,0.29,-0.18,-0.18
b853e0ad,0.0,0.79,0.26,33.3,0.8,0.27,0.0,0.0,23.8,0.0,0.0,0.0,0.03,0.03,0.03,-0.03,-0.03
98d2c2c4,0.0,0.69,0.17,25.0,0.69,0.17,0.0,0.0,21.5,0.0,0.0,0.0,0.05,0.05,0.09,-0.05,-0.05
1c90cd29,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
ce30bfc8,0.0,0.71,0.0,0.0,0.71,0.0,0.0,,17.1,0.0,0.0,0.0,0.04,0.04,0.04,-0.04,-0.04
72c812f3,0.0,0.37,0.0,0.0,0.37,0.0,0.0,,19.9,0.0,0.0,0.0,0.02,0.02,0.03,-0.02,-0.02
2bed3eab,0.0,0.87,0.43,50.0,0.87,0.43,0.0,0.0,7.5,0.0,0.0,0.0,0.26,0.26,0.31,-0.26,-0.26
ecb68eea,0.0,0.48,0.0,0.0,0.48,0.0,0.0,,14.9,0.0,0.0,0.0,0.02,0.02,0.06,-0.02,-0.02
6be41a31,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
7ba6d84e,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
ea0ff634,0.0,2.27,0.45,20.0,2.24,0.45,0.0,0.0,14.6,0.0,0.0,0.0,0.18,0.18,0.08,-0.18,-0.18
df10e27c,0.0,1.82,0.91,50.0,1.87,0.94,0.0,0.0,27.0,0.0,0.0,0.0,0.09,0.09,0.03,-0.09,-0.09
f521b80a,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
16ceb862,2.07,3.1,2.07,66.7,3.13,2.08,0.56,0.83,10.7,0.0,0.34,0.34,0.72,0.45,0.15,1.34,1.28
88e357ef,0.0,3.0,1.25,41.7,3.0,1.25,0.0,0.0,17.4,0.0,0.0,0.0,0.32,0.32,0.11,-0.32,-0.32
f0f7f62f,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
d9b9b71a,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
