Player,Age,90s,mv,DF,FW,GK,MF,Tack Tkl,Tack TklW,Tack Def 3rd,Tack Mid 3rd,Tack Att 3rd,Vs D Tkl,Vs D Att,Vs D Tkl%,Vs D Past,Pres Press,Pres Succ,Pres %,Pres Def 3rd,Pres Mid 3rd,Pres Att 3rd,Bloc Blocks,Bloc Sh,Bloc ShSv,Bloc Pass,Int,Tkl+Int,Clr,Err,Tota Cmp,Tota Att,Tota Cmp%,Tota TotDist,Tota PrgDist,Shor Cmp,Shor Att,Shor Cmp%,Medi Cmp,Medi Att,Medi Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Gls,Stan Sh,Stan SoT,Stan SoT%,Stan Sh/90,Stan SoT/90,Stan G/Sh,Stan G/SoT,Stan Dist,Stan FK,Perf PK,Perf PKatt_x,Expe xG,Expe npxG,Expe npxG/Sh,Expe G-xG,Expe np:G-xG,Play MP,Play Starts,Play Min,Perf GA,Perf GA90,Perf SoTA,Perf Saves,Perf Save%,W,D,L,Perf CS,Perf CS%,Perf PKatt_y,Pena PKA,Pena PKsv,Pena PKm,Pena Save%
30643ce2,34,0.3,600000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.33,3.33,100.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,43.33,46.2,320.0,60.0,13.33,20.0,66.7,6.67,23.33,28.6,0.0,0.0,,0.0,0.33,-0.33,3.33,0.0,3.33,0.0,3.33,0.0,6.67,3.33,50.0,7.2,3.6,0.0,0.0,13.7,0.0,0.0,0.0,0.67,0.67,0.08,-0.67,-0.67,,,,,,,,,,,,,,,,,,
1394bf42,17,0.7,1000000,1,0,0,0,1.43,0.0,1.43,0.0,0.0,0.0,0.0,,0.0,5.71,0.0,0.0,2.86,0.0,2.86,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,30.0,32.86,91.3,522.86,72.86,14.29,14.29,100.0,14.29,15.71,90.9,1.43,1.43,142.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,
1e465e70,18,0.4,3000000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,2.5,12.5,7.5,10.0,2.5,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,60.0,62.5,96.0,1102.5,217.5,22.5,25.0,90.0,30.0,30.0,100.0,5.0,5.0,250.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,5.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,
28d596a0,25,1.0,13000000,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,25.0,88.0,456.0,160.0,3.0,3.0,100.0,19.0,19.0,100.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,90.0,1.0,1.0,2.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45af8a54,24,6.9,35000000,0,1,0,0,1.16,0.72,0.29,0.14,0.72,0.58,1.01,57.1,0.43,9.86,3.33,33.8,1.88,3.48,4.49,0.43,0.0,0.0,0.43,1.01,2.17,0.29,0.0,37.39,47.1,79.4,637.83,93.19,20.43,23.04,88.7,12.17,15.22,80.0,4.2,6.67,9.13,0.0,0.03,-0.03,0.43,2.46,0.43,0.14,2.61,0.29,3.33,1.59,47.8,3.34,1.6,0.09,0.18,17.0,0.14,0.0,0.0,0.36,0.36,0.13,-0.07,-0.07,,,,,,,,,,,,,,,,,,
552e00b9,22,0.5,2500000,0,0,0,1,4.0,2.0,0.0,2.0,2.0,4.0,4.0,100.0,0.0,32.0,6.0,18.8,12.0,18.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,84.0,86.0,97.7,1300.0,302.0,38.0,38.0,100.0,42.0,42.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,
10549b49,25,3.2,25000000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.62,9.38,1.25,13.3,0.31,1.88,7.19,0.62,0.0,0.0,0.62,0.62,0.62,0.94,0.0,17.5,24.38,71.8,281.25,42.19,9.69,13.44,72.1,6.25,8.44,74.1,1.56,2.19,22.31,0.0,0.19,-0.19,1.88,0.62,0.31,0.31,0.94,0.0,2.5,0.31,12.5,2.5,0.31,0.0,0.0,11.3,0.0,0.0,0.0,0.25,0.25,0.11,-0.25,-0.25,,,,,,,,,,,,,,,,,,
53cad200,30,10.7,13000000,1,0,0,0,2.34,1.21,1.12,0.93,0.28,0.93,1.87,50.0,0.93,17.29,5.42,31.4,7.2,8.22,1.87,2.15,0.75,0.0,1.4,1.21,3.55,4.3,0.0,57.38,69.16,83.0,966.54,399.07,28.04,29.63,94.6,24.11,27.2,88.7,4.49,10.09,4.15,0.0,0.04,-0.04,0.65,4.3,0.47,0.19,3.74,0.0,0.37,0.09,25.0,0.37,0.09,0.0,0.0,9.1,0.0,0.0,0.0,0.04,0.04,0.11,-0.04,-0.04,,,,,,,,,,,,,,,,,,
8b683d09,35,3.6,500000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,1.11,9.17,0.83,9.1,0.56,4.17,4.44,0.83,0.28,0.0,0.56,0.28,0.28,0.83,0.0,19.44,25.0,77.8,325.83,43.06,10.28,12.22,84.1,6.67,8.61,77.4,1.94,3.06,17.67,0.28,0.11,0.17,0.56,1.11,0.28,0.0,0.83,0.28,2.5,0.83,33.3,2.47,0.82,0.11,0.33,19.4,0.0,0.0,0.0,0.28,0.28,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,
60c07b31,24,2.1,5000000,1,0,0,0,1.9,1.9,1.9,0.0,0.0,0.48,3.33,14.3,2.86,9.05,3.81,42.1,8.57,0.48,0.0,0.95,0.48,0.0,0.48,0.48,2.38,5.71,0.0,43.33,50.48,85.8,911.43,289.05,14.76,15.71,93.9,21.43,22.38,95.7,7.14,11.9,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,
6a2b9aee,18,0.4,3500000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5,15.0,2.5,16.7,0.0,7.5,7.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,17.5,42.9,75.0,12.5,2.5,10.0,25.0,2.5,5.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,
a8567629,20,4.6,10000000,1,0,0,0,1.74,0.65,0.87,0.65,0.22,0.43,1.3,33.3,0.87,12.83,2.83,22.0,5.87,4.78,2.17,1.96,0.0,0.0,1.96,1.3,3.04,3.7,0.22,35.22,41.96,83.9,486.09,145.43,24.35,25.65,94.9,8.04,10.0,80.4,1.74,3.26,11.59,0.0,0.0,0.0,0.22,1.3,0.0,0.0,1.3,0.0,0.65,0.22,33.3,0.66,0.22,0.0,0.0,12.5,0.0,0.0,0.0,0.09,0.09,0.12,-0.09,-0.09,,,,,,,,,,,,,,,,,,
7c3ed041,21,2.8,8000000,1,0,0,0,1.79,1.79,1.07,0.71,0.0,0.36,1.43,25.0,1.07,10.36,4.29,41.4,7.14,3.21,0.0,0.71,0.36,0.0,0.36,1.43,3.21,1.79,0.0,58.21,64.29,90.6,1272.14,318.21,16.07,16.79,95.7,29.64,31.79,93.3,11.79,14.64,28.75,0.0,0.0,0.0,0.0,0.71,0.0,0.0,1.07,0.0,0.36,0.0,0.0,0.36,0.0,0.0,,14.3,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,
ed33f42d,21,0.1,2000000,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,30.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,80.0,840.0,40.0,10.0,10.0,100.0,30.0,30.0,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,
6928979a,23,5.9,65000000,0,0,0,1,2.71,2.03,0.68,1.53,0.51,0.68,2.54,26.7,1.86,16.95,5.08,30.0,4.75,9.66,2.54,1.69,0.17,0.0,1.53,0.68,3.39,0.0,0.0,42.03,55.93,75.2,767.12,279.49,19.66,23.39,84.1,16.1,20.17,79.8,5.42,8.98,10.24,0.17,0.07,0.1,0.85,5.59,3.05,0.51,8.47,0.0,0.68,0.0,0.0,0.68,0.0,0.0,,16.8,0.0,0.0,0.0,0.05,0.05,0.08,-0.05,-0.05,,,,,,,,,,,,,,,,,,
a4e16ab4,20,0.7,5000000,0,0,0,1,1.43,0.0,0.0,1.43,0.0,1.43,4.29,33.3,2.86,30.0,4.29,14.3,7.14,21.43,1.43,2.86,0.0,0.0,2.86,0.0,1.43,2.86,0.0,30.0,37.14,80.8,508.57,81.43,12.86,15.71,81.8,14.29,17.14,83.3,1.43,1.43,142.86,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,
8e7f49d3,26,5.5,15000000,0,0,0,1,2.55,2.0,2.0,0.36,0.18,0.73,2.55,28.6,1.82,21.27,6.55,30.8,12.73,7.09,1.45,3.09,0.73,0.0,2.36,1.27,3.82,1.64,0.0,47.64,56.0,85.1,951.45,251.45,17.82,20.55,86.7,20.0,22.36,89.4,8.36,10.36,14.67,0.0,0.0,0.0,0.18,3.64,0.36,0.0,2.36,0.0,0.18,0.0,0.0,0.18,0.0,0.0,,31.1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,
75b86fb3,21,4.6,60000000,1,0,0,0,0.87,0.43,0.43,0.43,0.0,0.22,0.87,25.0,0.65,8.7,3.26,37.5,3.48,3.7,1.52,0.43,0.0,0.0,0.43,0.43,1.3,1.74,0.0,61.52,73.7,83.5,1315.22,328.04,19.13,21.52,88.9,30.0,31.3,95.8,11.96,18.26,14.24,0.22,0.02,0.2,0.43,7.17,0.87,0.22,5.0,0.0,0.43,0.0,0.0,0.44,0.0,0.0,,16.9,0.0,0.0,0.0,0.02,0.02,0.04,-0.02,-0.02,,,,,,,,,,,,,,,,,,
c432ba7d,20,0.4,700000,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.5,2.5,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,45.0,83.3,510.0,32.5,25.0,27.5,90.9,12.5,15.0,83.3,0.0,0.0,,0.0,0.5,-0.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,100.0,2.43,2.43,0.0,0.0,8.0,0.0,0.0,0.0,0.5,0.5,0.18,-0.5,-0.5,,,,,,,,,,,,,,,,,,
50dc94ce,23,3.1,30000000,0,1,0,1,2.58,2.26,0.32,0.65,1.61,0.97,1.29,75.0,0.32,14.84,5.16,34.8,4.19,5.48,5.16,0.32,0.32,0.0,0.0,0.97,3.55,0.0,0.0,54.84,60.97,89.9,817.42,175.48,32.9,36.45,90.3,19.03,20.97,90.8,1.94,2.58,24.19,0.0,0.06,-0.06,1.61,4.84,0.97,0.0,3.23,0.0,0.32,0.0,0.0,0.32,0.0,0.0,,13.6,0.0,0.0,0.0,0.03,0.03,0.05,-0.03,-0.03,,,,,,,,,,,,,,,,,,
57d88cf9,17,7.6,55000000,0,0,0,1,3.29,1.97,1.32,1.18,0.79,1.32,2.76,47.6,1.45,23.82,6.05,25.4,7.76,11.05,5.0,3.16,0.26,0.13,2.89,1.18,4.47,1.18,0.0,38.95,46.71,83.4,667.5,118.29,18.03,21.18,85.1,15.39,17.5,88.0,3.95,5.39,9.63,0.13,0.11,0.03,0.79,3.82,0.66,0.0,3.55,0.13,1.32,0.53,40.0,1.31,0.52,0.1,0.25,18.3,0.0,0.0,0.0,0.11,0.11,0.08,0.03,0.03,,,,,,,,,,,,,,,,,,
bef0a7ac,30,2.9,7000000,0,1,0,0,0.34,0.34,0.34,0.0,0.0,0.0,0.0,,0.0,8.97,3.45,38.5,0.34,3.1,5.52,1.03,0.0,0.0,1.03,0.34,0.69,0.69,0.0,11.03,14.48,76.2,215.86,43.45,4.83,5.52,87.5,2.07,3.1,66.7,2.41,3.45,24.14,0.0,0.0,0.0,0.69,0.34,0.34,0.34,1.03,0.0,1.72,0.34,20.0,1.75,0.35,0.0,0.0,16.0,0.0,0.0,0.0,0.24,0.24,0.14,-0.24,-0.24,,,,,,,,,,,,,,,,,,
fe888e39,22,0.2,4000000,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,10.0,5.0,50.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,66.7,370.0,15.0,5.0,10.0,50.0,15.0,20.0,75.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,
378825c7,25,5.0,22000000,1,0,0,0,3.6,3.2,2.8,0.6,0.2,1.4,2.6,53.8,1.2,14.6,5.2,35.6,8.4,5.4,0.8,2.2,0.0,0.0,2.2,3.0,6.6,3.6,0.2,36.6,48.4,75.6,631.6,248.4,16.8,19.2,87.5,16.2,20.0,81.0,3.2,6.8,9.42,0.0,0.02,-0.02,0.4,1.4,0.2,0.0,1.2,0.4,0.6,0.2,33.3,0.6,0.2,0.33,1.0,18.5,0.2,0.2,0.2,0.22,0.06,0.11,0.18,0.14,,,,,,,,,,,,,,,,,,
3b8674e6,23,5.2,35000000,0,0,0,1,3.46,2.5,1.35,2.12,0.0,1.54,2.69,57.1,1.15,18.65,5.96,32.0,4.42,10.96,3.27,1.92,0.0,0.0,1.92,1.54,5.0,1.15,0.19,62.5,71.15,87.8,1160.0,307.31,28.46,30.38,93.7,25.0,27.5,90.9,7.88,10.77,14.08,0.0,0.08,-0.08,1.54,7.12,0.58,0.19,7.5,0.0,0.96,0.19,20.0,0.95,0.19,0.0,0.0,24.0,0.0,0.0,0.0,0.02,0.02,0.03,-0.02,-0.02,,,,,,,,,,,,,,,,,,
70d74ece,32,9.3,25000000,0,1,0,0,0.75,0.65,0.11,0.54,0.11,0.32,0.43,75.0,0.11,13.66,3.87,28.3,2.04,5.16,6.45,0.54,0.11,0.0,0.43,0.43,1.18,0.22,0.0,33.44,38.49,86.9,516.77,89.68,19.03,21.83,87.2,10.43,11.18,93.3,2.69,3.12,9.27,0.0,0.19,-0.19,2.04,2.15,1.61,0.11,2.37,0.65,3.66,1.83,50.0,3.64,1.82,0.18,0.35,12.8,0.0,0.0,0.0,0.54,0.54,0.15,0.11,0.11,,,,,,,,,,,,,,,,,,
b39bf63f,33,5.7,1200000,0,1,0,0,0.53,0.35,0.0,0.35,0.18,0.35,1.58,22.2,1.23,13.68,2.81,20.5,0.88,7.54,5.26,1.4,0.35,0.0,1.05,0.18,0.7,1.05,0.0,15.61,21.93,71.2,228.07,34.74,9.65,12.63,76.4,4.74,6.67,71.1,0.7,1.75,7.02,0.0,0.02,-0.02,0.7,0.53,0.35,0.0,0.88,0.35,1.58,0.7,44.4,1.59,0.71,0.11,0.25,13.4,0.0,0.18,0.18,0.46,0.32,0.2,-0.11,-0.14,,,,,,,,,,,,,,,,,,
eb6e14be,22,5.2,10000000,0,1,0,1,0.58,0.38,0.19,0.19,0.19,0.0,1.15,0.0,1.15,16.15,5.77,35.7,2.12,9.04,5.0,0.38,0.0,0.0,0.38,0.19,0.77,0.38,0.0,17.69,24.04,73.6,249.04,100.0,10.58,14.04,75.3,4.62,6.35,72.7,1.15,1.35,16.48,0.19,0.35,-0.15,1.73,1.73,1.73,0.19,4.23,0.77,3.27,1.54,47.1,3.24,1.53,0.24,0.5,15.0,0.19,0.0,0.0,0.6,0.6,0.18,0.17,0.17,,,,,,,,,,,,,,,,,,
